C(curve)[T.Y],C(surf_typ)[T.B],C(surf_typ)[T.P],log_aadt,lanewid,avg_grad
0,0,0,9.179881164,13.46875,0.007154
0,0,0,9.190137665,13.46875,0.007154
0,0,0,9.200290036,13.46875,0.007154
0,0,0,9.210340372,13.46875,0.007154
0,0,0,9.220290703,13.46875,0.007154
0,0,0,9.230142999,13.46875,0.007154
0,0,0,9.239899174,13.46875,0.007154
0,0,0,9.249561085,13.46875,0.007154
0,0,0,9.259130536,13.46875,0.007154
0,0,0,9.26860928,13.46875,0.007154
0,0,0,9.27799902,13.46875,0.007154
0,0,0,9.287301413,13.46875,0.007154
0,0,0,9.296518068,13.46875,0.007154
0,0,0,9.305650552,13.46875,0.007154
0,0,0,9.314700387,13.46875,0.007154
0,0,0,9.323669057,13.46875,0.007154
0,0,0,9.332558005,13.46875,0.007154
0,0,0,9.341368634,13.46875,0.007154
0,0,0,9.350102314,13.46875,0.007154
0,0,0,9.358760377,13.46875,0.007154
0,0,0,9.367344121,13.46875,0.007154
0,0,0,9.37585481,13.46875,0.007154
0,0,0,9.384293679,13.46875,0.007154
0,0,0,9.392661929,13.46875,0.007154
0,0,0,9.400960732,13.46875,0.007154
0,0,0,9.409191231,13.46875,0.007154
0,0,0,9.417354541,13.46875,0.007154
0,0,0,9.425451752,13.46875,0.007154
0,0,0,9.433483923,13.46875,0.007154
0,0,0,9.441452093,13.46875,0.007154
0,0,0,9.449357272,13.46875,0.007154
0,0,0,9.45720045,13.46875,0.007154
0,0,0,9.46498259,13.46875,0.007154
0,0,0,9.472704636,13.46875,0.007154
0,0,0,9.480367509,13.46875,0.007154
0,0,0,9.487972109,13.46875,0.007154
0,0,0,9.495519314,13.46875,0.007154
0,0,0,9.503009986,13.46875,0.007154
0,0,0,9.510444964,13.46875,0.007154
0,0,0,9.517825072,13.46875,0.007154
0,0,0,9.525151112,13.46875,0.007154
0,0,0,9.532423871,13.46875,0.007154
0,0,0,9.539644119,13.46875,0.007154
0,0,0,9.546812609,13.46875,0.007154
0,0,0,9.553930076,13.46875,0.007154
0,0,0,9.560997244,13.46875,0.007154
0,0,0,9.568014816,13.46875,0.007154
0,0,0,9.574983486,13.46875,0.007154
0,0,0,9.581903928,13.46875,0.007154
0,0,0,9.588776808,13.46875,0.007154
0,0,0,9.595602773,13.46875,0.007154
0,0,0,9.60238246,13.46875,0.007154
0,0,0,9.609116492,13.46875,0.007154
0,0,0,9.61580548,13.46875,0.007154
0,0,0,9.622450023,13.46875,0.007154
0,0,0,9.629050707,13.46875,0.007154
0,0,0,9.635608107,13.46875,0.007154
0,0,0,9.642122788,13.46875,0.007154
0,0,0,9.648595303,13.46875,0.007154
0,0,0,9.655026193,13.46875,0.007154
0,0,0,9.661415991,13.46875,0.007154
0,0,0,9.667765219,13.46875,0.007154
0,0,0,9.674074388,13.46875,0.007154
0,0,0,9.680344001,13.46875,0.007154
0,0,0,9.686574551,13.46875,0.007154
0,0,0,9.692766521,13.46875,0.007154
0,0,0,9.698920387,13.46875,0.007154
0,0,0,9.705036614,13.46875,0.007154
0,0,0,9.71111566,13.46875,0.007154
0,0,0,9.717157974,13.46875,0.007154
0,0,0,9.723163998,13.46875,0.007154
0,0,0,9.729134165,13.46875,0.007154
0,0,0,9.735068901,13.46875,0.007154
0,0,0,9.740968623,13.46875,0.007154
0,0,0,9.746833742,13.46875,0.007154
0,0,0,9.752664663,13.46875,0.007154
0,0,0,9.75846178,13.46875,0.007154
0,0,0,9.764225485,13.46875,0.007154
0,0,0,9.76995616,13.46875,0.007154
0,0,0,9.775654181,13.46875,0.007154
0,0,0,9.781319919,13.46875,0.007154
0,0,0,9.786953736,13.46875,0.007154
0,0,0,9.792555992,13.46875,0.007154
0,0,0,9.798127037,13.46875,0.007154
0,0,0,9.803667217,13.46875,0.007154
0,0,0,9.809176873,13.46875,0.007154
0,0,0,9.814656339,13.46875,0.007154
0,0,0,9.820105944,13.46875,0.007154
0,0,0,9.825526011,13.46875,0.007154
0,0,0,9.83091686,13.46875,0.007154
0,0,0,9.836278803,13.46875,0.007154
0,0,0,9.841612149,13.46875,0.007154
0,0,0,9.846917201,13.46875,0.007154
0,0,0,9.852194258,13.46875,0.007154
0,0,0,9.857443614,13.46875,0.007154
0,0,0,9.862665558,13.46875,0.007154
0,0,0,9.867860375,13.46875,0.007154
0,0,0,9.873028345,13.46875,0.007154
0,0,0,9.878169745,13.46875,0.007154
0,0,0,9.883284845,13.46875,0.007154
0,0,0,9.888373915,13.46875,0.007154
0,0,0,9.893437217,13.46875,0.007154
0,0,0,9.898475011,13.46875,0.007154
0,0,0,9.903487553,13.46875,0.007154
0,0,0,9.908475094,13.46875,0.007154
0,0,0,9.913437883,13.46875,0.007154
0,0,0,9.918376165,13.46875,0.007154
0,0,0,9.92329018,13.46875,0.007154
0,0,0,9.928180165,13.46875,0.007154
0,0,0,9.933046355,13.46875,0.007154
0,0,0,9.937888979,13.46875,0.007154
0,0,0,9.942708266,13.46875,0.007154
0,0,0,9.947504438,13.46875,0.007154
0,0,0,9.952277717,13.46875,0.007154
0,0,0,9.957028319,13.46875,0.007154
0,0,0,9.961756461,13.46875,0.007154
0,0,0,9.966462352,13.46875,0.007154
0,0,0,9.971146201,13.46875,0.007154
0,0,0,9.975808214,13.46875,0.007154
0,0,0,9.980448594,13.46875,0.007154
0,0,0,9.98506754,13.46875,0.007154
0,0,0,9.989665249,13.46875,0.007154
0,0,0,9.994241916,13.46875,0.007154
0,0,0,9.998797732,13.46875,0.007154
0,0,0,10.00333289,13.46875,0.007154
0,0,0,10.00784757,13.46875,0.007154
0,0,0,10.01234196,13.46875,0.007154
0,0,0,10.01681624,13.46875,0.007154
0,0,0,10.02127059,13.46875,0.007154
0,0,0,10.02570519,13.46875,0.007154
0,0,0,10.0301202,13.46875,0.007154
0,0,0,10.03451581,13.46875,0.007154
0,0,0,10.03889219,13.46875,0.007154
0,0,0,10.04324949,13.46875,0.007154
0,0,0,10.0475879,13.46875,0.007154
0,0,0,10.05190756,13.46875,0.007154
0,0,0,10.05620864,13.46875,0.007154
0,0,0,10.0604913,13.46875,0.007154
0,0,0,10.0647557,13.46875,0.007154
0,0,0,10.06900199,13.46875,0.007154
0,0,0,10.07323033,13.46875,0.007154
0,0,0,10.07744086,13.46875,0.007154
0,0,0,10.08163374,13.46875,0.007154
0,0,0,10.08580911,13.46875,0.007154
0,0,0,10.08996712,13.46875,0.007154
0,0,0,10.09410791,13.46875,0.007154
0,0,0,10.09823163,13.46875,0.007154
0,0,0,10.10233841,13.46875,0.007154
0,0,0,10.1064284,13.46875,0.007154
0,0,0,10.11050172,13.46875,0.007154
0,0,0,10.11455852,13.46875,0.007154
0,0,0,10.11859893,13.46875,0.007154
0,0,0,10.12262308,13.46875,0.007154
0,0,0,10.1266311,13.46875,0.007154
0,0,0,10.13062313,13.46875,0.007154
0,0,0,10.13459927,13.46875,0.007154
0,0,0,10.13855967,13.46875,0.007154
0,0,0,10.14250445,13.46875,0.007154
0,0,0,10.14643373,13.46875,0.007154
0,0,0,10.15034763,13.46875,0.007154
0,0,0,10.15424627,13.46875,0.007154
0,0,0,10.15812977,13.46875,0.007154
0,0,0,10.16199825,13.46875,0.007154
0,0,0,10.16585182,13.46875,0.007154
0,0,0,10.16969059,13.46875,0.007154
0,0,0,10.17351469,13.46875,0.007154
0,0,0,10.17732422,13.46875,0.007154
0,0,0,10.18111929,13.46875,0.007154
0,0,0,10.18490001,13.46875,0.007154
0,0,0,10.18866649,13.46875,0.007154
0,0,0,10.19241884,13.46875,0.007154
0,0,0,10.19615717,13.46875,0.007154
0,0,0,10.19988157,13.46875,0.007154
0,0,0,10.20359214,13.46875,0.007154
0,0,0,10.20728901,13.46875,0.007154
0,0,0,10.21097225,13.46875,0.007154
0,0,0,10.21464198,13.46875,0.007154
0,0,0,10.21829829,13.46875,0.007154
0,0,0,10.22194128,13.46875,0.007154
0,0,0,10.22557105,13.46875,0.007154
0,0,0,10.22918769,13.46875,0.007154
0,0,0,10.2327913,13.46875,0.007154
0,0,0,10.23638197,13.46875,0.007154
0,0,0,10.23995979,13.46875,0.007154
0,0,0,10.24352486,13.46875,0.007154
0,0,0,10.24707726,13.46875,0.007154
0,0,0,10.25061708,13.46875,0.007154
0,0,0,10.25414442,13.46875,0.007154
0,0,0,10.25765937,13.46875,0.007154
0,0,0,10.261162,13.46875,0.007154
0,0,0,10.2646524,13.46875,0.007154
0,0,0,10.26813067,13.46875,0.007154
0,0,0,10.27159687,13.46875,0.007154
0,0,0,10.27505111,13.46875,0.007154
0,0,0,10.27849345,13.46875,0.007154
0,0,0,10.28192399,13.46875,0.007154
0,0,0,10.2853428,13.46875,0.007154
0,0,0,10.28874995,13.46875,0.007154
0,0,0,10.29214554,13.46875,0.007154
0,0,0,10.29552964,13.46875,0.007154
0,0,0,10.29890232,13.46875,0.007154
0,0,0,10.30226367,13.46875,0.007154
0,0,0,10.30561376,13.46875,0.007154
0,0,0,10.30895266,13.46875,0.007154
0,0,0,10.31228045,13.46875,0.007154
0,0,0,10.3155972,13.46875,0.007154
0,0,0,10.31890299,13.46875,0.007154
0,0,0,10.32219789,13.46875,0.007154
0,0,0,10.32548196,13.46875,0.007154
0,0,0,10.32875529,13.46875,0.007154
0,0,0,10.33201793,13.46875,0.007154
0,0,0,10.33526997,13.46875,0.007154
0,0,0,10.33851146,13.46875,0.007154
0,0,0,10.34174248,13.46875,0.007154
0,0,0,10.3449631,13.46875,0.007154
0,0,0,10.34817337,13.46875,0.007154
0,0,0,10.35137338,13.46875,0.007154
0,0,0,10.35456317,13.46875,0.007154
0,0,0,10.35774282,13.46875,0.007154
0,0,0,10.3609124,13.46875,0.007154
0,0,0,10.36407196,13.46875,0.007154
0,0,0,10.36722157,13.46875,0.007154
0,0,0,10.37036129,13.46875,0.007154
0,0,0,10.37349118,13.46875,0.007154
0,0,0,10.37661131,13.46875,0.007154
0,0,0,10.37972173,13.46875,0.007154
0,0,0,10.38282251,13.46875,0.007154
0,0,0,10.3859137,13.46875,0.007154
0,0,0,10.38899537,13.46875,0.007154
0,0,0,10.39206757,13.46875,0.007154
0,0,0,10.39513036,13.46875,0.007154
0,0,0,10.39818379,13.46875,0.007154
0,0,0,10.40122794,13.46875,0.007154
0,0,0,10.40426284,13.46875,0.007154
0,0,0,10.40728856,13.46875,0.007154
0,0,0,10.41030515,13.46875,0.007154
0,0,0,10.41331268,13.46875,0.007154
0,0,0,10.41631118,13.46875,0.007154
0,0,0,10.41930072,13.46875,0.007154
0,0,0,10.42228135,13.46875,0.007154
0,0,0,10.42525312,13.46875,0.007154
0,0,0,10.42821608,13.46875,0.007154
0,0,0,10.43117029,13.46875,0.007154
0,0,0,10.4341158,13.46875,0.007154
0,0,0,10.43705266,13.46875,0.007154
0,0,0,10.43998092,13.46875,0.007154
0,0,0,10.44290063,13.46875,0.007154
0,0,0,10.44581184,13.46875,0.007154
0,0,0,10.4487146,13.46875,0.007154
0,0,0,10.45160896,13.46875,0.007154
0,0,0,10.45449497,13.46875,0.007154
0,0,0,10.45737267,13.46875,0.007154
0,0,0,10.46024211,13.46875,0.007154
0,0,0,10.46310334,13.46875,0.007154
0,0,0,10.46595641,13.46875,0.007154
0,0,0,10.46880136,13.46875,0.007154
0,0,0,10.47163824,13.46875,0.007154
0,0,0,10.4744671,13.46875,0.007154
0,0,0,10.47728798,13.46875,0.007154
0,0,0,10.48010092,13.46875,0.007154
0,0,0,10.48290597,13.46875,0.007154
0,0,0,10.48570317,13.46875,0.007154
0,0,0,10.48849257,13.46875,0.007154
0,0,0,10.49127422,13.46875,0.007154
0,0,0,10.49404814,13.46875,0.007154
0,0,0,10.4968144,13.46875,0.007154
0,0,0,10.49957302,13.46875,0.007154
0,0,0,10.50232405,13.46875,0.007154
0,0,0,10.50506754,13.46875,0.007154
0,0,0,10.50780352,13.46875,0.007154
0,0,0,10.51053203,13.46875,0.007154
0,0,0,10.51325312,13.46875,0.007154
0,0,0,10.51596683,13.46875,0.007154
0,0,0,10.51867319,13.46875,0.007154
0,0,0,10.52137225,13.46875,0.007154
0,0,0,10.52406404,13.46875,0.007154
0,0,0,10.52674861,13.46875,0.007154
0,0,0,10.52942598,13.46875,0.007154
0,0,0,10.53209621,13.46875,0.007154
0,0,0,10.53475933,13.46875,0.007154
0,0,0,10.53741537,13.46875,0.007154
0,0,0,10.54006438,13.46875,0.007154
0,0,0,10.54270639,13.46875,0.007154
0,0,0,10.54534144,13.46875,0.007154
0,0,0,10.54796956,13.46875,0.007154
0,0,0,10.55059079,13.46875,0.007154
0,0,0,10.55320518,13.46875,0.007154
0,0,0,10.55581274,13.46875,0.007154
0,0,0,10.55841352,13.46875,0.007154
0,0,0,10.56100756,13.46875,0.007154
0,0,0,10.56359488,13.46875,0.007154
0,0,0,10.56617553,13.46875,0.007154
0,0,0,10.56874953,13.46875,0.007154
0,0,0,10.57131693,13.46875,0.007154
0,0,0,10.57387775,13.46875,0.007154
0,0,0,10.57643203,13.46875,0.007154
0,0,0,10.5789798,13.46875,0.007154
0,0,0,10.5815211,13.46875,0.007154
0,0,0,10.58405595,13.46875,0.007154
0,0,0,10.5865844,13.46875,0.007154
0,0,0,10.58910647,13.46875,0.007154
0,0,0,10.59162219,13.46875,0.007154
0,0,0,10.5941316,13.46875,0.007154
0,0,0,10.59663473,13.46875,0.007154
0,0,0,10.59913161,13.46875,0.007154
0,0,0,10.60162227,13.46875,0.007154
0,0,0,10.60410675,13.46875,0.007154
0,0,0,10.60658506,13.46875,0.007154
0,0,0,10.60905725,13.46875,0.007154
0,0,0,10.61152335,13.46875,0.007154
0,0,0,10.61398337,13.46875,0.007154
0,0,0,10.61643736,13.46875,0.007154
0,0,0,10.61888534,13.46875,0.007154
0,0,0,10.62132735,13.46875,0.007154
0,0,0,10.6237634,13.46875,0.007154
0,0,0,10.62619354,13.46875,0.007154
0,0,0,10.62861778,13.46875,0.007154
0,0,0,10.63103616,13.46875,0.007154
0,0,0,10.63344871,13.46875,0.007154
0,0,0,10.63585545,13.46875,0.007154
0,0,0,10.63825641,13.46875,0.007154
0,0,0,10.64065162,13.46875,0.007154
0,0,0,10.64304111,13.46875,0.007154
0,0,0,10.6454249,13.46875,0.007154
0,0,0,10.64780302,13.46875,0.007154
0,0,0,10.6501755,13.46875,0.007154
0,0,0,10.65254237,13.46875,0.007154
0,0,0,10.65490364,13.46875,0.007154
0,0,0,10.65725935,13.46875,0.007154
0,0,0,10.65960953,13.46875,0.007154
0,0,0,10.6619542,13.46875,0.007154
0,0,0,10.66429338,13.46875,0.007154
0,0,0,10.6666271,13.46875,0.007154
0,0,0,10.66895539,13.46875,0.007154
0,0,0,10.67127828,13.46875,0.007154
0,0,0,10.67359577,13.46875,0.007154
0,0,0,10.67590791,13.46875,0.007154
0,0,0,10.67821472,13.46875,0.007154
0,0,0,10.68051622,13.46875,0.007154
0,0,0,10.68281243,13.46875,0.007154
0,0,0,10.68510338,13.46875,0.007154
0,0,0,10.6873891,13.46875,0.007154
0,0,0,10.6896696,13.46875,0.007154
0,0,0,10.69194491,13.46875,0.007154
0,0,0,10.69421506,13.46875,0.007154
0,0,0,10.69648007,13.46875,0.007154
0,0,0,10.69873996,13.46875,0.007154
0,0,0,10.70099475,13.46875,0.007154
0,0,0,10.70324447,13.46875,0.007154
0,0,0,10.70548914,13.46875,0.007154
0,0,0,10.70772878,13.46875,0.007154
0,0,0,10.70996342,13.46875,0.007154
0,0,0,10.71219307,13.46875,0.007154
0,0,0,10.71441777,13.46875,0.007154
0,0,0,10.71663753,13.46875,0.007154
0,0,0,10.71885237,13.46875,0.007154
0,0,0,10.72106231,13.46875,0.007154
0,0,0,10.72326738,13.46875,0.007154
0,0,0,10.7254676,13.46875,0.007154
0,0,0,10.727663,13.46875,0.007154
0,0,0,10.72985358,13.46875,0.007154
0,0,0,10.73203937,13.46875,0.007154
0,0,0,10.7342204,13.46875,0.007154
0,0,0,10.73639668,13.46875,0.007154
0,0,0,10.73856823,13.46875,0.007154
0,0,0,10.74073508,13.46875,0.007154
0,0,0,10.74289724,13.46875,0.007154
0,0,0,10.74505474,13.46875,0.007154
0,0,0,10.74720759,13.46875,0.007154
0,0,0,10.74935582,13.46875,0.007154
0,0,0,10.75149944,13.46875,0.007154
0,0,0,10.75363848,13.46875,0.007154
0,0,0,10.75577295,13.46875,0.007154
0,0,0,10.75790288,13.46875,0.007154
0,0,0,10.76002828,13.46875,0.007154
0,0,0,10.76214917,13.46875,0.007154
0,0,0,10.76426557,13.46875,0.007154
0,0,0,10.76637751,13.46875,0.007154
0,0,0,10.76848499,13.46875,0.007154
0,0,0,10.77058804,13.46875,0.007154
0,0,0,10.77268668,13.46875,0.007154
0,0,0,10.77478092,13.46875,0.007154
0,0,0,10.77687078,13.46875,0.007154
0,0,0,10.77895629,13.46875,0.007154
0,0,0,10.78103746,13.46875,0.007154
0,0,0,10.7831143,13.46875,0.007154
0,0,0,10.78518684,13.46875,0.007154
0,0,0,10.78725509,13.46875,0.007154
0,0,0,10.78931908,13.46875,0.007154
0,0,0,10.79137881,13.46875,0.007154
0,0,0,10.79343431,13.46875,0.007154
0,0,0,10.79548559,13.46875,0.007154
0,0,0,10.79753268,13.46875,0.007154
0,0,0,10.79957558,13.46875,0.007154
0,0,0,10.80161431,13.46875,0.007154
0,0,0,10.8036489,13.46875,0.007154
0,0,0,10.80567936,13.46875,0.007154
0,0,0,10.8077057,13.46875,0.007154
0,0,0,10.80972795,13.46875,0.007154
0,0,0,10.81174611,13.46875,0.007154
0,0,0,10.81376021,13.46875,0.007154
0,0,0,10.81577026,13.46875,0.007154
0,0,0,10.81777628,13.46875,0.007154
0,0,0,10.81977828,13.46875,0.007154
0,0,0,10.82177629,13.46875,0.007154
0,0,0,10.82377031,13.46875,0.007154
