rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
011,18.91,2010000001,2010,011,37,16,01,01,71,2,4,2,2,4,03
009,0.09,2010000003,2010,009,31,14,01,07,06,1,1,2,1,1,02
231,57.21,2010000004,2010,231,33,07,01,11,34,1,4,6,4,6,01
090,279.76,2010000005,2010,090,32,11,01,09,12,1,1,5,4,1,03
515,3.59,2010000006,2010,515,17,16,01,07,03,4,1,1,1,1,01
097,141.88,2010000007,2010,097,19,02,01,07,04,1,4,5,2,1,02
082,17.25,2010000008,2010,082,19,01,01,12,02,1,4,3,1,3,02
005,118.01,2010000009,2010,005,27,11,01,15,04,1,4,1,1,1,02
005,160.06,2010000010,2010,005,17,11,01,04,04,1,4,1,2,1,03
395,25.11,2010000011,2010,395,03,12,01,13,33,1,4,5,2,4,03
014,0.56,2010000012,2010,014,06,12,01,11,06,1,5,2,1,2,02
005,108.59,2010000013,2010,005,34,11,01,11,06,1,4,1,2,4,03
395,192.39,2010000014,2010,395,33,02,01,04,33,1,4,6,3,1,04
018,2.54,2010000015,2010,018,17,12,01,05,33,1,4,6,2,4,03
099,39.45,2010000016,2010,099,31,14,01,10,06,1,1,1,1,1,02
014,0.35,2010000017,2010,014,06,12,01,09,04,7,4,1,1,2,01
097,148.45,2010000018,2010,097,19,02,01,05,13,1,4,6,4,1,05
005,74.97,2010000019,2010,005,21,11,01,06,06,1,4,1,2,6,02
124,6.9,2010000020,2010,124,36,06,01,05,32,7,4,1,1,2,02
507,28.2,2010000021,2010,507,34,06,01,06,03,1,1,1,2,2,02
012,144.38,2010000022,2010,012,21,02,01,04,16,1,3,2,2,1,03
205,2.49,2010000023,2010,205,06,11,01,08,06,1,4,1,2,4,03
005,221.42,2010000024,2010,005,29,01,01,08,07,7,1,6,2,1,03
012,198.95,2010000025,2010,012,39,12,01,11,02,6,4,1,1,6,02
500,10.13,2010000026,2010,500,06,16,01,11,04,1,1,1,2,2,02
005,96.79,2010000027,2010,005,34,01,01,12,71,1,4,1,2,6,03
097AR,34.21,2010000028,2010,097,04,06,01,04,04,1,4,5,3,1,04
405,26.86,2010000029,2010,405,31,11,01,07,33,1,5,2,1,4,01
014,2.23,2010000031,2010,014,06,12,01,09,04,2,4,1,1,1,01
283,5.96,2010000032,2010,283,13,06,01,03,34,2,5,,2,6,02
705LX00072,0,2010000033,2010,705,27,11,01,19,06,7,1,1,1,3,02
515,4.72,2010000034,2010,515,17,16,01,15,12,7,1,2,2,4,03
005,199.16,2010000035,2010,005,31,11,01,12,27,1,4,1,1,1,02
082,7.95,2010000036,2010,082,19,01,01,04,06,1,4,2,3,1,04
395,26.37,2010000037,2010,395,11,12,01,21,06,1,4,1,1,6,02
167,0.51,2010000038,2010,167,27,14,01,16,13,4,4,5,2,4,01
090,9,2010000039,2010,090,17,11,01,13,04,1,4,2,2,4,03
090,142.45,2010000040,2010,090,13,01,01,04,04,1,5,1,3,1,02
005,104.41,2010000041,2010,005,34,11,01,06,05,1,4,5,2,4,02
012,169.75,2010000042,2010,012,39,02,01,04,50,1,4,5,3,1,04
097,23.54,2010000043,2010,097,20,02,01,08,50,1,4,1,3,6,03
097,158.19,2010000044,2010,097,04,02,01,13,98,7,4,6,4,6,02
005,104.95,2010000045,2010,005,34,11,01,08,05,1,4,1,2,6,03
002,146.94,2010000046,2010,002,09,02,01,04,98,1,4,6,3,1,04
009,92.64,2010000047,2010,009,37,07,01,05,50,1,4,5,1,6,01
014,46.5,2010000048,2010,014,30,02,01,06,33,6,4,6,1,1,02
097AR,29.09,2010000049,2010,097,04,06,01,04,34,1,4,2,3,1,04
500,6.98,2010000050,2010,500,06,12,01,15,99,1,1,5,1,4,02
082,7.93,2010000051,2010,082,19,01,01,04,98,1,4,3,3,1,04
181,2.39,2010000052,2010,181,17,14,01,09,12,6,1,1,1,4,01
005,161.97,2010000053,2010,005,17,11,01,23,71,2,4,3,1,4,02
512,8.94,2010000054,2010,512,27,12,01,16,50,2,4,8,2,4,02
405,3.97,2010000055,2010,405,17,11,01,06,06,1,4,1,2,1,03
542,4.8,2010000056,2010,542,37,06,01,09,07,1,1,1,2,1,02
002,119.19,2010000057,2010,002,04,12,01,20,05,1,4,6,2,2,02
002,16.68,2010000058,2010,002,31,02,01,12,32,1,4,1,2,6,02
002,63.11,2010000059,2010,002,17,02,01,14,13,7,4,6,3,6,04
002,107.41,2010000060,2010,002,04,02,01,20,33,1,4,6,2,1,02
108,3.1,2010000061,2010,108,14,06,01,25,60,1,4,1,2,6,02
003,40.35,2010000062,2010,003,18,12,01,11,04,1,4,6,2,1,03
003,25.48,2010000063,2010,003,23,02,01,22,02,1,1,1,1,4,01
003,34.77,2010000064,2010,003,18,12,01,14,05,1,1,1,2,1,03
016,26.65,2010000065,2010,016,18,12,01,20,04,1,4,5,1,1,02
405,24.4,2010000066,2010,405,17,11,01,06,04,1,4,5,2,1,01
009,94.08,2010000067,2010,009,37,02,01,12,32,1,4,1,2,6,03
109,6.84,2010000068,2010,109,14,06,01,11,02,6,3,5,2,1,03
121,7.49,2010000069,2010,121,34,16,01,04,03,1,3,1,2,4,03
082,6.42,2010000070,2010,082,19,01,01,14,54,6,4,2,2,6,02
082,8.93,2010000071,2010,082,19,01,01,04,07,6,4,2,3,1,04
097,30.7,2010000072,2010,097,20,02,01,18,33,1,4,6,4,6,01
005,156.66,2010000073,2010,005,17,11,01,21,27,1,4,5,1,1,01
005,231.86,2010000074,2010,005,29,01,01,20,33,1,4,1,1,6,01
283,5.96,2010000075,2010,283,13,06,01,14,34,6,1,5,2,6,02
090,93.28,2010000076,2010,090,19,01,01,19,15,1,4,1,1,1,01
090,119.11,2010000078,2010,090,19,01,01,18,04,6,4,6,4,6,02
014,13.8,2010000079,2010,014,06,12,01,23,04,1,4,1,2,1,01
090,72.94,2010000080,2010,090,19,01,01,21,04,1,4,1,4,6,05
090,57.43,2010000081,2010,090,19,01,01,24,17,1,4,5,3,6,04
090,71.4,2010000082,2010,090,19,01,01,24,06,1,4,1,3,6,04
005,124.68,2010000083,2010,005,27,11,01,25,05,1,4,1,2,1,01
090,172.19,2010000084,2010,090,13,01,01,26,04,1,4,1,1,1,01
002S200221,0.14,2010000085,2010,002,31,12,01,19,06,1,4,6,1,2,02
395,201.82,2010000086,2010,395,33,02,01,22,32,1,4,2,1,3,01
410LX00932,0,2010000087,2010,410,27,12,01,30,33,2,5,1,2,4,03
005,154.25,2010000088,2010,005,17,11,01,25,14,7,4,1,1,1,01
530,32.18,2010000089,2010,530,31,06,01,29,13,7,1,1,2,3,03
005,1.13,2010000090,2010,005,06,11,01,28,05,1,4,2,1,1,01
270,4.85,2010000091,2010,270,38,14,01,29,06,1,7,1,1,1,01
292,0.54,2010000092,2010,292,33,07,01,13,50,1,3,2,4,6,05
090,278.73,2010000093,2010,090,32,11,01,27,04,1,4,1,1,1,01
002,325.56,2010000094,2010,002,26,02,01,20,06,1,2,1,2,1,02
290,13.03,2010000095,2010,290,32,16,01,20,32,1,4,1,1,6,01
017,76.94,2010000096,2010,017,13,06,01,18,50,1,4,6,4,1,01
005,136.06,2010000097,2010,005,27,11,01,13,04,7,4,1,2,4,02
395,23.68,2010000098,2010,395,03,14,01,19,13,1,1,1,2,4,01
290,8.36,2010000099,2010,290,32,14,01,27,06,1,1,5,4,1,09
090,293.5,2010000100,2010,090,32,11,01,26,33,1,4,5,1,6,01
090,52.79,2010000101,2010,090,19,01,01,31,34,1,4,6,2,6,01
005,151.04,2010000102,2010,005,17,11,01,27,27,1,4,2,1,4,05
167,15.77,2010000103,2010,167,17,12,01,27,05,1,4,1,1,2,05
022,0.3,2010000104,2010,022,39,02,01,19,60,1,4,1,1,6,01
012,292.49,2010000105,2010,012,36,12,01,28,12,1,1,2,1,1,01
099,29.12,2010000106,2010,099,17,12,01,28,71,4,1,2,1,4,01
097,161.1,2010000107,2010,097,04,02,01,25,98,1,4,2,3,6,04
090,58.46,2010000108,2010,090,19,01,01,25,50,1,4,5,3,1,02
005,254.25,2010000109,2010,005,37,11,01,24,06,1,4,1,2,3,03
005,244.25,2010000110,2010,005,37,01,01,22,02,7,4,1,1,1,01
516,2.19,2010000111,2010,516,17,12,01,11,03,7,1,1,2,1,03
161,19.65,2010000112,2010,161,27,14,01,23,06,1,4,1,1,1,01
090,15.77,2010000113,2010,090,17,11,01,26,05,1,1,1,1,1,01
121,3.33,2010000114,2010,121,34,07,01,31,13,3,4,5,2,1,02
165,19.29,2010000115,2010,165,27,16,01,30,34,4,4,5,2,6,03
005,176.84,2010000116,2010,005,17,11,01,29,33,4,4,1,1,6,02
017,104.6,2010000117,2010,017,09,06,02,12,03,1,1,2,2,1,02
005,76.02,2010000118,2010,005,21,11,02,09,06,2,4,1,1,6,05
099,42.95,2010000119,2010,099,31,14,02,02,12,1,1,6,2,1,02
005,201.02,2010000120,2010,005,31,11,02,04,16,5,4,1,1,4,02
005,208.15,2010000121,2010,005,31,01,02,05,06,1,4,2,2,6,03
005,79.15,2010000122,2010,005,21,11,01,27,33,1,4,1,1,3,01
090,81.19,2010000123,2010,090,19,01,02,08,50,2,4,6,1,1,02
104,27,2010000124,2010,104,31,14,01,20,16,1,1,1,1,1,01
002,6.42,2010000125,2010,002,31,12,01,21,27,1,4,1,1,1,01
090,273.41,2010000126,2010,090,32,11,02,01,06,5,4,1,2,6,05
002,141.32,2010000127,2010,002,09,02,01,04,16,1,1,2,3,6,04
101,17.21,2010000128,2010,101,25,06,01,25,50,1,4,6,2,2,02
005,135.96,2010000129,2010,005,27,11,02,03,04,1,4,1,2,4,03
109,3.93,2010000130,2010,109,14,06,02,01,50,1,4,6,2,1,03
014,61.65,2010000131,2010,014,30,02,01,14,34,5,8,6,2,6,00
097,161.15,2010000132,2010,097,04,02,01,25,98,1,4,2,3,6,04
014,25.75,2010000133,2010,014,30,02,01,11,50,1,4,6,1,1,01
005LX13609,0.27,2010000134,2010,005,27,11,02,02,15,1,1,5,1,1,01
028,0,2010000135,2010,028,09,14,01,21,04,1,1,,1,4,01
005,154.14,2010000136,2010,005,17,11,02,05,06,6,4,2,2,4,03
005,109.47,2010000137,2010,005,34,11,01,31,06,1,4,2,1,1,01
005,133.4,2010000138,2010,005,27,11,02,01,05,1,4,2,2,4,03
512,0.27,2010000139,2010,512,27,12,01,26,06,1,4,1,1,1,01
007,53.15,2010000140,2010,007,27,14,01,27,05,1,6,1,1,1,02
512,8.77,2010000141,2010,512,27,12,02,01,06,6,4,2,1,1,02
243,8.55,2010000142,2010,243,13,06,02,08,33,1,1,1,1,1,02
005,135.31,2010000143,2010,005,27,11,02,03,04,1,4,1,2,4,02
161,33,2010000144,2010,161,27,14,02,11,17,1,3,1,2,6,03
395,222.67,2010000145,2010,395,33,02,02,02,16,7,4,1,2,1,03
011,3.23,2010000146,2010,011,29,07,01,26,07,1,4,1,1,1,01
005,159.17,2010000147,2010,005,17,11,02,09,71,2,4,1,1,6,01
005S100506,0.17,2010000148,2010,005,06,11,02,18,15,1,1,7,1,1,01
101,353.55,2010000149,2010,101,23,02,02,18,12,7,1,1,1,1,01
082,116.98,2010000150,2010,082,03,01,02,16,04,1,4,2,1,1,01
020,21.7,2010000151,2010,020,15,02,02,19,71,4,4,1,2,6,01
527,2.93,2010000152,2010,527,31,14,02,15,02,5,1,1,1,1,01
097,57.85,2010000153,2010,097,39,02,01,27,16,6,3,1,1,3,02
522,14.69,2010000154,2010,522,31,12,02,08,06,5,4,2,1,1,01
002,24.26,2010000155,2010,002,31,02,02,17,12,2,1,1,1,1,01
101,320.28,2010000156,2010,101,23,02,02,03,60,1,4,5,2,6,02
005,111.57,2010000157,2010,005,34,11,02,12,05,1,5,1,2,1,03
005,159.55,2010000158,2010,005,17,11,02,03,04,7,4,1,2,1,03
405Q101294,0.04,2010000159,2010,405,17,11,02,10,50,1,4,2,2,1,01
005,118.57,2010000160,2010,005,27,11,01,27,06,1,4,1,1,1,01
005,127.79,2010000161,2010,005,27,11,01,30,05,1,4,1,1,1,01
082,36.87,2010000162,2010,082,39,11,02,10,04,6,4,1,1,1,01
005P118618,0.27,2010000163,2010,005,31,11,02,11,05,1,2,6,2,1,03
017,95.08,2010000164,2010,017,09,06,02,17,34,6,4,2,1,6,05
005,80.25,2010000165,2010,005,21,11,02,02,06,7,4,1,1,1,02
101,65.08,2010000166,2010,101,25,02,02,16,32,1,4,1,1,6,01
005,5.78,2010000167,2010,005,06,11,02,17,04,1,4,2,1,1,01
101,357.31,2010000168,2010,101,34,02,01,17,34,4,5,5,2,6,03
005,82.6,2010000169,2010,005,21,11,02,21,27,1,4,1,1,1,01
018,1.29,2010000170,2010,018,17,12,02,16,06,1,4,1,1,1,01
005,144.45,2010000171,2010,005,17,11,02,24,05,1,1,1,2,2,03
528,3.07,2010000172,2010,528,31,16,02,23,13,5,1,2,1,1,01
202,8.16,2010000173,2010,202,17,14,02,24,04,1,1,1,2,1,01
202,8.63,2010000174,2010,202,17,14,02,09,06,1,1,6,1,1,01
543,1.09,2010000175,2010,543,37,02,02,08,04,1,4,1,1,1,01
544,0.25,2010000176,2010,544,37,07,02,02,06,1,3,1,1,1,01
405,26.58,2010000177,2010,405,31,11,02,23,06,5,4,1,1,1,01
090,250.89,2010000178,2010,090,22,01,02,15,01,2,4,1,1,3,01
082,13.98,2010000179,2010,082,19,01,02,17,06,7,4,2,1,1,01
090,96.86,2010000180,2010,090,19,01,02,25,54,1,4,1,2,6,01
542,0.01,2010000181,2010,542,37,16,02,08,06,1,4,1,2,1,03
