rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
090,46.86,2011000001,2011,090,17,01,01,03,99,1,4,2,1,1,01
090,280.11,2011000002,2011,090,32,11,01,02,04,1,4,6,2,1,01
205,9.01,2011000003,2011,205,06,11,01,04,05,1,4,1,1,1,01
290,1.35,2011000004,2011,290,32,14,01,04,04,1,4,1,4,1,01
005,187.6,2011000005,2011,005,31,11,01,03,04,1,4,2,1,6,01
395,23.68,2011000006,2011,395,03,14,01,03,07,7,1,1,1,1,01
005,189.62,2011000007,2011,005,31,11,01,05,06,7,4,1,2,6,03
167P100932,0.3,2011000008,2011,167,27,12,01,04,07,1,1,2,1,1,02
167,28.03,2011000009,2011,167,17,14,01,05,05,1,1,1,1,1,02
090,77.26,2011000010,2011,090,19,01,01,05,12,5,4,5,3,1,06
090,72.44,2011000011,2011,090,19,01,01,05,98,7,4,6,4,6,04
526LX00354,0.17,2011000012,2011,526,31,12,01,11,06,1,1,1,1,1,02
090P110089,0.18,2011000013,2011,090,19,01,01,13,32,1,4,6,4,4,03
097,128.15,2011000014,2011,097,19,02,01,12,02,6,4,6,4,3,03
005S514181,0.02,2011000015,2011,005,17,11,01,06,04,1,4,1,2,2,03
014,22.52,2011000016,2011,014,30,02,01,11,50,7,4,6,1,1,01
020,6.25,2011000017,2011,020,16,02,01,12,03,1,1,1,8,4,09
003,37.25,2011000018,2011,003,18,12,01,12,04,1,4,5,3,6,04
099,14.7,2011000019,2011,099,17,14,01,11,06,7,1,2,3,4,04
005,75.08,2011000020,2011,005,21,11,01,11,27,1,4,1,1,1,02
099,20.55,2011000021,2011,099,17,12,01,05,05,1,4,1,2,4,03
005Q115496,0.65,2011000022,2011,005,17,11,01,05,05,1,1,1,1,1,01
090,94.32,2011000023,2011,090,19,01,01,12,06,6,4,6,4,3,06
005,104.54,2011000024,2011,005,34,11,01,07,05,1,5,6,2,1,03
526,2.47,2011000025,2011,526,31,12,01,13,04,1,4,1,2,1,03
174,37.34,2011000026,2011,174,22,07,01,13,03,6,1,1,2,1,05
005,163.43,2011000027,2011,005,17,11,01,14,04,1,4,2,2,1,02
005,166.25,2011000028,2011,005,17,11,01,14,05,6,4,2,2,1,03
012,2.6,2011000029,2011,012,14,14,01,17,04,1,4,6,2,6,02
020,73.84,2011000030,2011,020,29,06,01,18,16,6,1,1,2,1,01
005,82.37,2011000031,2011,005,21,11,01,14,06,7,4,2,2,1,03
005,83.17,2011000032,2011,005,21,11,01,14,05,7,1,2,2,1,03
005,137.01,2011000033,2011,005,27,11,01,05,34,1,4,1,2,1,01
405,19.61,2011000035,2011,405,17,11,01,13,05,7,4,2,7,2,03
290,12.17,2011000036,2011,290,32,14,01,13,02,1,1,1,2,1,01
082,118.35,2011000037,2011,082,03,01,01,16,04,6,4,6,1,1,01
090,278.26,2011000038,2011,090,32,11,01,06,04,1,5,1,2,4,02
243,13.94,2011000039,2011,243,13,06,01,05,02,7,1,1,2,4,02
510,11.34,2011000040,2011,510,34,06,01,22,12,7,3,1,1,3,01
082,132.57,2011000041,2011,082,03,01,01,19,05,1,4,2,4,1,01
005,136.09,2011000042,2011,005,27,11,01,05,33,1,4,1,2,4,03
005,207.33,2011000043,2011,005,31,01,01,05,33,1,4,1,2,1,03
005,198.79,2011000044,2011,005,31,11,01,03,04,1,4,2,1,1,01
509,2.65,2011000045,2011,509,27,12,01,13,06,6,2,1,2,1,03
405,26.58,2011000046,2011,405,31,11,01,18,06,1,4,7,2,1,03
005Q110481,0.05,2011000047,2011,005,34,11,01,07,04,1,4,6,2,1,03
