rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
101,364.46,2009000084,2009,101,34,12,01,02,33,6,4,5,1,1,01
410,12.3,2009000085,2009,410,27,16,01,02,33,0,1,1,2,1,02
005,163.48,2009000086,2009,005,17,11,01,02,27,1,4,2,1,6,02
082,59.17,2009000087,2009,082,39,01,01,02,99,1,4,6,1,6,01
534,3.88,2009000088,2009,534,29,07,01,02,50,1,4,6,4,6,01
090,46.67,2009000089,2009,090,17,01,01,02,34,1,4,6,4,6,02
090,23.17,2009000090,2009,090,17,01,01,02,50,6,4,1,4,6,02
090,46.67,2009000091,2009,090,17,01,01,02,34,1,4,6,4,6,02
090,30.62,2009000092,2009,090,17,01,01,02,50,7,1,1,4,4,02
900,13.97,2009000093,2009,900,17,06,01,02,50,1,4,5,2,6,02
004,30.22,2009000094,2009,004,35,02,01,02,34,1,4,1,4,6,02
002,287.92,2009000095,2009,002,32,14,01,01,02,1,4,6,3,1,04
090,86.58,2009000096,2009,090,19,01,01,27,04,7,4,8,3,1,04
002,68.29,2009000097,2009,002,04,02,01,16,07,6,4,6,4,6,01
167,19.76,2009000098,2009,167,17,12,02,04,05,1,4,1,1,1,01
520,8.92,2009000099,2009,520,17,12,01,14,04,7,4,1,1,1,01
005,57.56,2009000101,2009,005,21,01,01,02,06,6,4,1,4,1,01
006,44.62,2009000102,2009,006,21,06,01,02,50,7,4,6,4,1,01
005,82.83,2009000103,2009,005,21,11,01,02,33,6,4,6,4,2,01
005,27.77,2009000104,2009,005,08,01,01,02,33,1,4,1,3,1,01
005,27.1,2009000105,2009,005,08,01,01,02,16,7,4,1,3,1,02
005,27.1,2009000106,2009,005,08,01,01,02,06,7,4,1,3,1,02
005,27.1,2009000107,2009,005,08,01,01,02,03,1,4,1,3,1,02
012,94.53,2009000108,2009,012,21,02,01,05,98,7,4,6,3,6,03
082,19.27,2009000109,2009,082,19,01,01,06,33,1,4,2,2,1,01
097AR,34.96,2009000110,2009,097,04,06,01,15,33,1,1,1,2,4,02
101,30.6,2009000111,2009,101,25,02,01,09,32,1,4,1,2,6,03
090,225.22,2009000112,2009,090,01,01,01,02,50,7,4,1,4,1,02
090,229.14,2009000113,2009,090,01,01,01,01,33,1,4,1,3,1,04
090,250.14,2009000114,2009,090,22,01,01,01,34,1,4,1,4,1,02
090,210.59,2009000115,2009,090,01,01,01,02,98,1,4,2,3,6,04
395,89.24,2009000116,2009,395,01,02,01,02,60,1,5,1,4,2,01
090,220.96,2009000117,2009,090,01,01,01,02,33,6,4,1,4,1,01
090,232.07,2009000118,2009,090,01,01,01,02,04,1,4,1,4,6,01
090,220.27,2009000119,2009,090,01,01,01,02,50,1,4,1,4,1,01
536,0.04,2009000120,2009,536,29,06,01,18,33,1,2,7,4,4,01
005,9.36,2009000121,2009,005,06,11,01,27,16,1,4,1,3,1,04
005,9.47,2009000122,2009,005,06,11,01,02,33,1,4,1,2,6,02
005,13.4,2009000123,2009,005,06,01,01,02,33,1,4,1,3,1,01
500,9.05,2009000124,2009,500,06,12,01,01,33,1,4,5,2,6,03
014,61.72,2009000125,2009,014,30,02,01,02,50,7,4,5,4,1,01
014,76.85,2009000126,2009,014,20,02,01,01,34,1,4,5,2,6,03
509LX02560,0,2009000127,2009,509,17,12,01,01,06,1,6,1,2,4,03
167LX02131,0.12,2009000128,2009,167,17,12,01,02,03,7,1,1,1,1,01
516,7.42,2009000129,2009,516,17,14,01,01,71,6,1,1,2,3,03
090,0,2009000130,2009,090,17,11,01,28,04,1,1,6,1,1,01
005,207.36,2009000131,2009,005,31,01,01,16,06,7,4,1,1,4,05
082,31.89,2009000132,2009,082,39,11,01,05,33,7,4,5,3,1,02
