rd_inv,milepost,caseno,rte_nbr,county,func_cls,accyr,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
291,12.16,2008000002,291,33,07,2008,01,08,13,2,4,6,2,6,03
005,47.57,2008000003,005,08,01,2008,01,01,62,6,4,1,1,6,01
014Q100902,0.19,2008000004,014,06,12,2008,01,05,71,1,4,1,2,6,03
410,4.65,2008000005,410,27,16,2008,01,14,13,4,3,3,2,4,02
005R116224,0.62,2008000006,005,17,11,2008,01,07,33,2,4,8,2,4,02
005,151.04,2008000007,005,17,11,2008,01,18,06,4,4,1,1,4,02
405,13.29,2008000008,405,17,11,2008,01,11,11,2,4,1,1,4,02
002,86.98,2008000009,002,04,02,2008,01,21,13,2,4,6,1,1,01
028,14.82,2008000011,028,09,02,2008,01,04,16,7,4,1,3,1,04
432,4.43,2008000012,432,08,14,2008,01,09,04,1,6,1,2,1,02
017,12.71,2008000013,017,11,02,2008,01,07,33,1,4,6,3,1,04
082,108.72,2008000014,082,03,11,2008,01,08,03,6,4,6,3,1,04
182,12.81,2008000015,182,11,11,2008,01,06,50,1,4,1,1,1,01
410,77.21,2008000016,410,39,07,2008,01,03,35,1,4,5,3,6,04
005,76.42,2008000017,005,21,11,2008,01,03,60,1,4,1,2,4,03
090,4.91,2008000018,090,17,11,2008,01,08,06,6,4,1,1,1,03
005,172.78,2008000019,005,17,11,2008,01,02,33,1,4,1,2,4,03
005,192.52,2008000020,005,31,11,2008,01,04,33,1,4,1,2,1,03
090,97.08,2008000021,090,19,01,2008,01,07,04,1,4,1,3,1,01
090,73.14,2008000022,090,19,01,2008,01,05,07,1,4,1,4,1,02
005,118.37,2008000023,005,27,11,2008,01,02,34,1,4,1,2,1,03
090S128446,0.63,2008000024,090,32,11,2008,01,02,06,1,1,1,1,4,02
090,40.22,2008000026,090,17,01,2008,01,28,17,1,4,6,3,1,04
005,21,2008000027,005,08,01,2008,01,26,06,1,4,1,4,1,06
018,0.56,2008000028,018,17,12,2008,01,31,33,1,5,1,2,1,02
090,281.77,2008000029,090,32,11,2008,01,28,13,7,4,1,4,1,01
005,133.41,2008000030,005,27,11,2008,01,31,06,1,4,1,2,1,03
005,194.49,2008000031,005,31,11,2008,01,30,33,1,4,5,2,1,02
005,183.73,2008000032,005,31,11,2008,02,01,06,1,5,1,2,3,03
005,2.47,2008000033,005,06,11,2008,02,01,04,1,4,2,2,4,03
202,14.41,2008000034,202,17,06,2008,01,31,34,2,4,6,2,1,01
018,7.22,2008000035,018,17,12,2008,01,06,03,2,4,1,1,6,02
167,25.76,2008000036,167,17,12,2008,01,21,06,4,4,1,1,6,01
395,34.26,2008000037,395,11,02,2008,01,20,50,2,4,1,2,4,05
026,41.4,2008000038,026,01,12,2008,01,27,71,2,4,1,3,6,02
005,96.79,2008000039,005,34,01,2008,02,01,06,1,4,1,2,1,03
005,161.88,2008000040,005,17,11,2008,01,14,12,7,4,5,2,4,02
005,155.58,2008000041,005,17,11,2008,01,06,14,1,4,3,1,4,02
005,134.46,2008000042,005,27,11,2008,01,03,05,1,1,1,2,1,03
005,130.36,2008000043,005,27,11,2008,01,10,54,1,4,1,2,1,03
099,20.56,2008000044,099,17,12,2008,01,14,04,1,4,2,1,2,02
005,122.94,2008000045,005,27,11,2008,01,12,04,7,4,1,1,4,02
020,190.28,2008000046,020,24,06,2008,01,15,13,7,4,5,4,1,02
097,11.45,2008000047,097,20,02,2008,01,08,98,1,4,6,3,6,03
290,4.22,2008000048,290,32,14,2008,01,07,06,1,1,2,4,4,02
012,20.68,2008000049,012,14,02,2008,01,24,16,1,5,1,1,6,01
020,301.55,2008000050,020,10,06,2008,01,10,06,7,4,2,3,1,02
005,229.02,2008000051,005,29,11,2008,01,10,05,1,4,2,2,6,03
124,24.38,2008000053,124,36,06,2008,01,26,50,1,4,5,4,6,03
012,309.78,2008000054,012,36,02,2008,01,28,01,2,4,1,2,1,02
020,8.98,2008000055,020,16,14,2008,01,28,02,1,1,2,3,1,02
243,27.07,2008000056,243,13,06,2008,01,07,16,7,4,2,3,1,01
012,141.34,2008000057,012,21,02,2008,01,08,34,1,4,6,3,1,04
395,36.11,2008000058,395,11,02,2008,01,08,50,6,4,1,2,6,02
082,127.58,2008000059,082,03,01,2008,01,26,05,1,4,1,4,6,06
090,95.48,2008000060,090,19,01,2008,01,15,50,1,4,6,4,3,02
097,238.64,2008000063,097,24,02,2008,01,14,98,1,4,5,4,6,02
097,22.22,2008000064,097,20,02,2008,01,26,98,1,4,2,3,1,04
141,5.15,2008000065,141,20,07,2008,01,08,34,1,4,5,3,1,04
221,1.41,2008000066,221,03,06,2008,01,06,98,1,8,2,4,6,01
024,6.37,2008000067,024,39,06,2008,01,11,04,1,4,1,4,6,05
082P203096,0.17,2008000068,082,39,11,2008,01,16,50,1,4,6,1,1,01
005,71.98,2008000069,005,21,11,2008,01,08,06,1,4,1,2,1,03
243,1.45,2008000070,243,13,06,2008,01,07,98,1,4,1,3,1,01
005,87.91,2008000071,005,34,01,2008,01,09,06,1,4,1,2,6,01
002,82.01,2008000072,002,04,02,2008,01,08,12,5,3,1,3,1,04
243,26.86,2008000073,243,13,06,2008,01,07,04,6,8,6,4,1,02
017,29.22,2008000074,017,13,02,2008,01,08,50,1,4,2,3,1,04
017,92.27,2008000075,017,09,06,2008,01,14,06,7,4,2,4,1,05
090,186.78,2008000076,090,13,01,2008,01,02,33,6,4,1,1,6,01
017,27.01,2008000077,017,01,02,2008,01,02,50,1,4,5,1,6,02
017,28.09,2008000078,017,01,02,2008,01,04,13,6,1,6,2,1,03
005,126.47,2008000079,005,27,11,2008,01,11,34,1,4,1,1,1,01
005,167.96,2008000080,005,17,11,2008,01,11,06,1,4,1,1,1,01
523,2.15,2008000081,523,17,14,2008,01,10,04,1,4,1,1,1,01
090,36.27,2008000082,090,17,01,2008,01,14,02,7,4,2,3,1,04
005,166.92,2008000083,005,17,11,2008,01,11,06,7,4,1,2,2,02
395,175.99,2008000084,395,32,12,2008,01,09,05,1,4,1,3,6,02
018,4.78,2008000085,018,17,12,2008,01,15,05,7,1,1,1,1,01
005,209.9,2008000086,005,31,01,2008,01,29,01,2,4,2,2,6,03
099,45.36,2008000087,099,31,14,2008,01,14,06,1,3,1,2,1,03
005,234.95,2008000088,005,29,01,2008,01,08,33,1,4,1,2,6,03
005,228.46,2008000089,005,29,11,2008,01,10,14,6,4,3,2,6,03
007,23.79,2008000090,007,27,06,2008,01,13,62,1,4,6,2,9,01
090,59.67,2008000091,090,19,01,2008,01,08,98,1,4,,3,1,02
090,66.64,2008000092,090,19,01,2008,01,24,33,1,4,1,1,6,01
090,56.43,2008000093,090,19,01,2008,01,29,34,1,4,1,3,1,04
524,13.35,2008000094,524,31,16,2008,01,02,34,1,1,4,2,3,02
090,48.27,2008000095,090,17,01,2008,01,02,27,1,4,2,3,6,04
101,100.08,2008000096,101,14,02,2008,01,07,04,1,4,1,4,1,01
167R102473,0.15,2008000097,167,17,12,2008,01,30,33,1,1,1,2,1,02
195,47.04,2008000098,195,38,02,2008,01,23,13,1,4,1,1,6,01
195,34.64,2008000099,195,38,02,2008,01,27,04,6,4,6,3,6,04
003,28.85,2008000100,003,18,02,2008,01,08,01,5,4,1,3,1,04
005,163.39,2008000101,005,17,11,2008,01,30,05,1,4,1,1,1,01
017,13.71,2008000102,017,11,02,2008,02,02,16,2,4,1,3,6,04
542,30.07,2008000103,542,37,07,2008,02,07,34,2,4,5,2,1,02
507,43.27,2008000104,507,27,06,2008,01,29,34,2,4,1,2,4,01
503,1.26,2008000106,503,06,14,2008,01,01,07,6,1,1,1,4,01
002,40.71,2008000107,002,31,02,2008,01,02,34,1,4,5,3,1,08
005,172.89,2008000109,005,17,11,2008,01,02,06,1,4,1,2,4,03
014,12.32,2008000110,014,06,12,2008,01,02,33,6,4,6,2,6,03
411,2.39,2008000111,411,08,16,2008,01,01,04,1,4,1,1,6,01
005P110402,0.03,2008000112,005,34,11,2008,01,03,06,1,4,2,2,4,03
405LX02031,0.33,2008000115,405,17,11,2008,01,01,29,1,1,,1,4,02
007,50.67,2008000116,007,27,14,2008,01,01,04,7,5,1,1,4,01
005Q219444,0.05,2008000117,005,31,11,2008,01,03,16,1,4,2,2,4,03
005,185.99,2008000118,005,31,11,2008,01,02,06,7,4,4,2,6,03
005R118419,0.23,2008000119,005,31,11,2008,01,02,15,1,2,1,2,4,03
005,179.85,2008000120,005,31,11,2008,01,03,06,7,4,2,2,4,03
016,0.65,2008000121,016,27,12,2008,01,02,06,1,4,1,1,4,01
518,3.36,2008000122,518,17,12,2008,01,03,33,7,4,6,2,4,02
518,2.9,2008000123,518,17,12,2008,01,03,06,1,4,2,2,4,01
515,1.59,2008000124,515,17,16,2008,01,02,12,7,1,2,2,4,03
167,27.1,2008000125,167,17,12,2008,01,02,06,1,4,1,1,6,02
515,5.11,2008000126,515,17,16,2008,01,02,03,1,6,1,1,4,02
005,8.47,2008000127,005,06,11,2008,01,27,71,2,4,1,2,6,02
004,45.01,2008000129,004,35,02,2008,01,18,34,6,4,6,1,1,02
005,168.31,2008000131,005,17,11,2008,01,03,06,1,4,3,2,1,03
005,166.26,2008000132,005,17,11,2008,01,03,04,1,4,1,2,1,03
005,165.45,2008000133,005,17,11,2008,01,03,05,1,4,2,2,4,03
005,170.64,2008000134,005,17,11,2008,01,03,06,1,5,1,2,4,03
005,170.3,2008000135,005,17,11,2008,01,04,06,1,4,5,1,4,01
005,167.23,2008000136,005,17,11,2008,01,05,06,1,4,1,1,4,02
005,163.92,2008000137,005,17,11,2008,01,04,06,7,4,1,1,1,01
005,103.95,2008000138,005,34,11,2008,01,04,06,5,5,2,2,4,03
008,12.5,2008000139,008,34,02,2008,01,06,62,0,4,2,2,6,03
090S101537,0.2,2008000140,090,17,11,2008,01,04,06,1,4,1,1,4,02
405,23.11,2008000141,405,17,11,2008,01,04,32,1,4,1,1,6,02
405,18.74,2008000142,405,17,11,2008,01,03,15,7,4,1,2,4,03
433,0.94,2008000143,433,08,14,2008,01,04,06,1,1,2,2,1,03
504,2.43,2008000144,504,08,06,2008,01,07,60,1,4,6,4,6,02
005,128.95,2008000145,005,27,11,2008,01,04,06,1,4,,2,4,03
005,137.49,2008000146,005,27,11,2008,01,04,06,1,4,,1,4,02
005,128.96,2008000147,005,27,11,2008,01,04,27,6,4,,1,1,02
405,6.23,2008000148,405,17,11,2008,01,05,06,1,4,,2,1,09
005Q514431,0.15,2008000149,005,17,11,2008,01,05,33,1,4,6,2,2,03
405,2,2008000150,405,17,11,2008,01,05,06,1,4,,2,1,01
167,17.09,2008000151,167,17,12,2008,01,05,33,6,4,1,2,1,02
512,1.1,2008000152,512,27,12,2008,01,04,06,7,4,1,1,4,01
512R100916,0.4,2008000153,512,27,12,2008,01,05,06,1,2,,2,1,03
161,24.41,2008000154,161,27,14,2008,01,04,06,1,8,1,1,1,01
002,51.56,2008000155,002,17,02,2008,01,06,33,1,4,1,4,6,01
005,169.72,2008000156,005,17,11,2008,01,06,06,1,4,1,2,1,03
005,173.47,2008000157,005,17,11,2008,01,04,06,6,4,1,1,4,01
005,177.27,2008000158,005,17,11,2008,01,03,33,1,4,1,2,4,02
205,2.9,2008000159,205,06,11,2008,01,03,06,7,4,2,2,3,03
502TBORGBEG,0,2008000160,502,06,14,2008,01,03,13,1,1,1,2,1,03
005R116473,0.17,2008000161,005,17,11,2008,01,04,33,1,4,6,2,1,01
005P117054R,0.33,2008000162,005,17,11,2008,01,04,33,1,4,6,2,1,03
005,129.55,2008000163,005,27,11,2008,01,03,06,1,4,1,2,4,03
007,49.98,2008000164,007,27,14,2008,01,03,12,1,3,1,2,4,03
161,23.35,2008000165,161,27,14,2008,01,02,06,7,4,1,2,4,01
405Q100249,0.44,2008000166,405,17,11,2008,01,05,06,1,4,5,2,4,02
007,52.12,2008000167,007,27,14,2008,01,05,06,1,4,2,2,1,03
520,7.14,2008000168,520,17,12,2008,01,05,33,7,4,6,1,4,02
009,4.32,2008000169,009,31,14,2008,01,04,34,1,2,1,2,6,03
405,4.58,2008000170,405,17,11,2008,01,05,33,7,4,5,1,4,02
005,58.12,2008000171,005,21,01,2008,01,05,33,1,4,5,3,1,02
005,132.06,2008000172,005,27,11,2008,01,05,16,1,4,1,2,1,03
005,132.06,2008000173,005,27,11,2008,01,05,06,6,4,1,2,1,03
099,43.8,2008000174,099,31,14,2008,02,11,71,2,4,2,2,5,02
522,9.6,2008000175,522,17,14,2008,01,28,14,1,5,1,3,1,02
410,5.36,2008000176,410,27,16,2008,02,08,06,7,1,1,,1,03
004,20.04,2008000177,004,35,02,2008,01,29,34,1,4,2,3,6,04
090,285.52,2008000178,090,32,11,2008,01,27,03,1,4,1,3,5,04
002,15.3,2008000179,002,31,14,2008,01,20,14,1,6,1,1,1,01
090,283.48,2008000180,090,32,11,2008,01,27,33,1,4,5,3,1,04
005,11.97,2008000181,005,06,01,2008,01,03,04,1,4,1,2,6,03
020,409.6,2008000182,020,26,06,2008,01,08,50,1,4,6,3,1,04
003,25.61,2008000183,003,23,02,2008,01,16,06,1,8,1,1,1,01
003,15.8,2008000184,003,23,02,2008,01,30,01,1,4,1,3,6,03
004,45.04,2008000185,004,35,02,2008,02,03,34,6,4,6,2,6,02
090,230.09,2008000186,090,01,01,2008,01,26,98,1,4,1,4,1,04
026,84.26,2008000187,026,01,02,2008,01,27,13,7,4,6,4,1,04
090,222.14,2008000188,090,01,01,2008,01,29,98,1,4,1,3,1,04
090,241.28,2008000189,090,22,01,2008,01,29,33,1,4,1,3,1,04
090,223.87,2008000190,090,01,01,2008,01,20,02,7,1,1,3,1,02
090,227.26,2008000192,090,01,01,2008,01,26,16,6,4,1,3,1,04
012,335.79,2008000193,012,36,12,2008,01,27,33,1,4,2,3,1,04
005,2.89,2008000194,005,06,11,2008,01,13,05,6,4,2,1,4,02
020,1.67,2008000196,020,16,02,2008,02,01,34,1,4,2,2,1,02
024,14.89,2008000197,024,39,06,2008,01,22,54,1,4,1,1,1,01
005,64.32,2008000198,005,21,01,2008,01,30,33,1,4,2,4,2,04
090LX16459,0.48,2008000199,090,13,01,2008,01,11,50,1,1,5,3,1,05
005R116716,0.54,2008000200,005,17,11,2008,01,09,05,1,1,5,1,1,02
017,43.49,2008000201,017,13,12,2008,01,02,50,1,1,1,2,4,02
017,45.71,2008000202,017,13,12,2008,01,23,06,6,5,1,1,4,01
101,360.37,2008000203,101,34,12,2008,02,05,98,1,4,1,2,2,02
002,285.83,2008000205,002,32,14,2008,01,19,34,1,4,1,1,4,01
005,176.21,2008000206,005,17,11,2008,01,16,04,7,4,5,1,4,01
005,253.26,2008000207,005,37,11,2008,01,02,33,1,4,6,1,6,02
124,24.84,2008000208,124,36,06,2008,01,26,50,1,4,2,4,6,06
099,21.66,2008000209,099,17,12,2008,01,22,07,6,1,1,1,1,01
005,122.38,2008000210,005,27,11,2008,01,21,04,7,4,1,1,4,01
515,1.33,2008000211,515,17,16,2008,01,23,01,2,4,1,1,1,01
003,30.48,2008000212,003,18,02,2008,01,19,16,1,1,1,2,1,03
003,39.12,2008000213,003,18,12,2008,01,08,33,1,4,1,3,3,04
395,195.37,2008000214,395,33,02,2008,01,10,12,7,1,1,3,4,04
005,192.47,2008000215,005,31,11,2008,01,24,04,6,4,2,1,4,01
005,180.32,2008000216,005,31,11,2008,01,03,06,7,4,1,2,6,03
090,34.19,2008000217,090,17,01,2008,01,29,33,1,4,6,3,6,02
099,39.81,2008000218,099,31,14,2008,01,22,06,1,3,1,1,1,01
082,14.86,2008000219,082,19,01,2008,01,04,33,1,4,6,4,6,03
099,44.93,2008000220,099,31,14,2008,01,05,03,6,3,2,1,6,02
090,283.59,2008000221,090,32,11,2008,01,06,33,1,5,1,2,1,02
503,2.99,2008000222,503,06,14,2008,01,05,06,7,3,1,2,6,03
500,0.8,2008000223,500,06,12,2008,01,05,33,1,5,6,2,6,03
