rd_inv,milepost,caseno,rte_nbr,county,func_cls,accyr,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
090,81.85,2006000091,090,19,01,2006,01,09,33,1,4,2,2,1,03
090,61.83,2006000092,090,19,01,2006,01,12,34,6,4,1,3,1,04
005,154.53,2006000093,005,17,11,2006,01,12,16,7,4,2,2,3,03
090,6.29,2006000094,090,17,11,2006,01,13,33,1,4,1,2,1,03
012,123.23,2006000095,012,21,02,2006,01,18,33,1,4,5,2,1,02
097,8.31,2006000096,097,20,02,2006,01,13,12,1,1,2,2,1,03
167,19.1,2006000097,167,17,12,2006,01,13,06,1,4,1,2,1,03
090,20.91,2006000098,090,17,01,2006,01,24,06,1,4,6,1,6,02
005,135.18,2006000099,005,27,11,2006,01,23,33,1,5,1,1,4,01
005,133.26,2006000100,005,27,11,2006,01,21,33,1,4,2,1,1,01
155,41.79,2006000101,155,24,06,2006,01,18,06,6,7,1,1,1,02
090,160.19,2006000102,090,13,01,2006,01,17,06,1,4,2,4,2,05
026,12,2006000103,026,13,02,2006,01,03,50,7,4,1,4,2,05
090,88.72,2006000105,090,19,01,2006,01,20,60,1,4,8,4,2,02
090,88.78,2006000106,090,19,01,2006,01,17,98,1,4,2,4,6,06
005,123.4,2006000107,005,27,11,2006,01,26,05,1,1,1,2,1,03
090,50.48,2006000108,090,17,01,2006,01,03,13,6,4,6,3,6,04
082,22.15,2006000109,082,39,01,2006,01,24,33,1,4,8,2,6,02
025,88.05,2006000110,025,33,06,2006,01,17,33,1,4,2,3,1,03
