rd_inv,milepost,caseno,rte_nbr,county,func_cls,accyr,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
082,74.07,2007000001,082,39,11,2007,01,01,50,4,4,6,2,6,02
099,33.08,2007000002,099,17,14,2007,01,05,34,6,4,1,2,1,03
090RL090EXP,4.81,2007000003,090,17,11,2007,01,04,33,1,4,1,2,1,03
090,257.84,2007000005,090,32,01,2007,01,13,33,5,4,1,4,6,01
505,3.55,2007000006,505,21,07,2007,01,20,50,2,4,1,4,6,01
503,40.6,2007000007,503,08,06,2007,01,20,50,2,4,6,4,1,01
082,36.67,2007000008,082,39,11,2007,01,16,01,2,4,1,3,1,04
082,99.99,2007000009,082,03,01,2007,01,07,50,2,4,6,1,6,01
012,23.2,2007000010,012,14,02,2007,01,10,73,2,4,1,2,1,02
525,20.1,2007000011,525,15,02,2007,01,22,04,2,4,6,1,6,02
307,3.21,2007000012,307,18,02,2007,01,10,13,2,4,1,4,1,01
005,180.66,2007000013,005,31,11,2007,01,02,05,1,1,1,2,4,03
005,119.74,2007000014,005,27,11,2007,01,05,02,6,4,1,2,4,03
005,142.6,2007000015,005,17,11,2007,01,04,06,7,4,1,2,4,03
005LX10279,0.02,2007000016,005,34,11,2007,01,02,02,1,6,5,2,4,03
005,94.67,2007000017,005,34,01,2007,01,04,05,1,4,2,1,1,01
090,52.74,2007000018,090,19,01,2007,01,04,02,1,4,2,3,6,04
018,2.33,2007000019,018,17,12,2007,01,04,06,7,4,6,2,2,01
014,77.53,2007000020,014,20,02,2007,01,02,34,1,4,1,2,6,03
090,67.43,2007000021,090,19,01,2007,01,04,50,1,4,6,3,6,02
090,53.47,2007000022,090,19,01,2007,01,05,02,1,4,2,3,1,04
018,13.38,2007000023,018,17,12,2007,01,04,02,1,1,1,4,6,02
090,66.04,2007000024,090,19,01,2007,01,03,07,1,4,2,3,6,04
169,20.8,2007000025,169,17,14,2007,01,04,17,7,4,1,3,6,02
005,169.43,2007000026,005,17,11,2007,01,05,06,7,5,1,1,4,02
090,1.43,2007000027,090,17,11,2007,01,05,06,1,4,1,2,1,03
005,163.28,2007000028,005,17,11,2007,01,02,33,7,4,2,1,4,01
005,97.69,2007000029,005,34,01,2007,01,27,06,7,4,1,1,6,01
005,184.46,2007000030,005,31,11,2007,01,23,05,1,1,1,2,1,02
539,2.6,2007000031,539,37,14,2007,01,19,06,1,4,1,2,1,02
542,21.53,2007000032,542,37,06,2007,01,22,50,1,4,6,2,1,02
005,6.3,2007000033,005,06,11,2007,01,10,12,1,4,2,4,6,02
005,263.19,2007000034,005,37,11,2007,01,10,06,1,4,1,3,1,04
090,34.21,2007000035,090,17,01,2007,01,16,29,1,4,2,4,1,04
101,245.37,2007000036,101,05,14,2007,01,05,12,7,1,2,1,4,01
411SPKELSO,0.11,2007000037,411,08,14,2007,01,17,04,1,4,1,3,1,02
167,28.26,2007000038,167,17,14,2007,01,04,03,1,1,1,1,4,02
005,82.4,2007000039,005,21,11,2007,01,11,16,1,4,1,1,6,01
005,0.24,2007000040,005,06,11,2007,01,01,33,1,4,1,1,4,01
005,6.3,2007000041,005,06,11,2007,01,10,12,1,4,2,4,6,02
005,36.94,2007000042,005,08,11,2007,01,16,33,1,4,1,3,1,04
005,56.17,2007000043,005,08,01,2007,01,02,05,1,4,2,2,1,03
182,14.37,2007000044,182,11,11,2007,01,02,33,1,4,1,1,1,02
221,2.58,2007000045,221,03,06,2007,01,04,98,1,4,2,4,6,02
002,120.32,2007000046,002,09,12,2007,01,01,33,1,4,2,4,6,03
082,20.31,2007000047,082,39,01,2007,01,12,02,7,4,6,1,1,01
024,72.17,2007000048,024,01,07,2007,01,15,32,1,4,6,1,6,01
090,154.58,2007000049,090,13,01,2007,01,15,06,6,4,1,1,6,01
005,177.95,2007000050,005,31,11,2007,01,02,06,1,4,1,2,1,03
090,222.67,2007000051,090,01,01,2007,01,09,98,1,4,1,1,6,01
090,34.97,2007000052,090,17,01,2007,01,16,60,1,4,2,4,1,04
090,44.67,2007000053,090,17,01,2007,01,10,04,1,4,2,3,1,04
090,23.24,2007000054,090,17,01,2007,01,23,04,7,4,2,1,1,02
090,34.21,2007000055,090,17,01,2007,01,16,29,1,4,2,4,1,04
005,135.46,2007000056,005,27,11,2007,01,07,98,7,4,2,2,4,03
410,8.21,2007000057,410,27,16,2007,01,24,06,7,3,1,1,1,01
005P116639,0.1,2007000059,005,17,11,2007,01,01,16,1,4,1,2,1,03
395,232.47,2007000060,395,33,02,2007,01,25,07,7,4,1,4,1,02
082R106728,0.34,2007000061,082,39,11,2007,01,16,06,1,1,2,3,1,04
090,68.95,2007000062,090,19,01,2007,01,05,04,1,5,1,3,4,04
005,116.74,2007000063,005,27,01,2007,01,09,06,5,4,2,2,1,03
005,76.61,2007000064,005,21,11,2007,01,10,98,1,4,1,3,1,04
005,63.09,2007000065,005,21,01,2007,01,01,33,6,4,1,2,1,02
082,30.64,2007000066,082,39,11,2007,01,09,16,1,4,1,1,4,02
005,263.19,2007000067,005,37,11,2007,01,10,12,7,4,1,3,1,04
161,35.92,2007000069,161,17,14,2007,01,12,98,1,1,2,4,1,01
182,13.26,2007000070,182,11,11,2007,01,17,13,5,4,1,4,6,02
405,12.55,2007000071,405,17,11,2007,01,13,34,1,4,1,4,4,02
005,132.72,2007000073,005,27,11,2007,01,03,06,1,4,2,2,1,03
395,31.93,2007000074,395,11,12,2007,01,23,06,1,4,1,1,4,01
003,56.33,2007000075,003,18,02,2007,01,01,34,1,4,2,1,1,02
005,157.28,2007000076,005,17,11,2007,01,01,06,5,4,4,2,6,03
090,13.29,2007000077,090,17,11,2007,01,10,14,1,4,2,1,1,01
090,21.86,2007000078,090,17,01,2007,01,11,04,1,4,2,3,5,01
090P101330,0.48,2007000079,090,17,11,2007,01,03,02,7,1,4,2,1,02
005,55.87,2007000080,005,08,01,2007,01,02,02,1,4,2,2,1,03
005,48.05,2007000081,005,08,01,2007,01,10,02,1,4,1,4,6,01
005,20.72,2007000082,005,06,01,2007,01,03,02,1,1,1,2,1,03
005,0.35,2007000083,005,06,11,2007,01,14,04,7,4,1,1,5,01
090,22.62,2007000084,090,17,01,2007,01,03,04,7,4,2,2,6,03
018,13.43,2007000085,018,17,12,2007,01,04,12,1,5,1,4,6,02
004,22.44,2007000086,004,35,02,2007,01,05,62,1,4,7,3,1,06
012,150.72,2007000087,012,21,02,2007,01,05,05,1,3,1,3,1,04
167,6.54,2007000088,167,27,12,2007,01,05,50,7,1,1,1,1,02
005,135.25,2007000089,005,27,11,2007,01,08,04,7,4,5,1,1,02
005,82.5,2007000090,005,21,11,2007,01,08,34,6,1,1,2,4,03
005S122960,0.03,2007000091,005,29,11,2007,01,08,99,1,4,6,2,4,02
020,45.66,2007000092,020,29,02,2007,01,08,12,1,1,8,2,1,02
005,193.85,2007000093,005,31,11,2007,01,08,04,1,4,5,1,2,01
082,35.08,2007000094,082,39,11,2007,01,08,04,6,4,1,1,2,01
167,26.14,2007000095,167,17,12,2007,01,08,05,1,4,1,1,3,01
167,26.14,2007000096,167,17,12,2007,01,08,06,7,4,1,1,3,01
821,0.29,2007000097,821,39,16,2007,01,08,33,1,1,6,1,4,01
005,259.32,2007000098,005,37,11,2007,01,10,06,1,4,1,3,1,04
005,259.31,2007000099,005,37,11,2007,01,10,60,1,4,1,3,1,04
005,210.05,2007000100,005,31,01,2007,01,10,02,1,4,2,3,1,02
005,259.76,2007000101,005,37,11,2007,01,10,14,7,4,1,3,1,04
012,7.95,2007000102,012,14,02,2007,01,10,99,6,4,2,4,6,01
012,2.1,2007000103,012,14,14,2007,01,10,06,1,4,1,3,6,04
090,288.68,2007000104,090,32,11,2007,01,10,06,1,4,1,4,4,04
014,22.09,2007000105,014,30,02,2007,01,10,33,1,4,6,3,1,04
970,3,2007000106,970,19,02,2007,01,10,32,1,4,2,2,6,01
097,160.55,2007000107,097,04,02,2007,01,10,34,1,4,6,3,1,01
290,5.74,2007000108,290,32,14,2007,01,10,50,1,1,6,2,1,04
097,148.28,2007000109,097,19,02,2007,01,11,33,1,4,2,4,1,01
005R112493,0.28,2007000110,005,27,11,2007,01,12,07,1,1,2,1,1,01
020,84.16,2007000111,020,29,06,2007,01,15,12,1,4,1,1,1,01
090,34.39,2007000112,090,17,01,2007,01,15,34,1,4,6,1,1,01
005,31.51,2007000113,005,08,01,2007,01,16,02,1,4,1,3,1,02
005,18.6,2007000114,005,06,01,2007,01,16,02,1,4,5,4,1,04
090,34.94,2007000115,090,17,01,2007,01,16,50,6,4,4,3,1,04
090,28.8,2007000116,090,17,01,2007,01,16,02,1,4,2,3,1,02
090,34.29,2007000117,090,17,01,2007,01,16,33,1,4,2,4,1,09
090,34.27,2007000118,090,17,01,2007,01,16,12,7,4,2,4,1,09
090,297.01,2007000119,090,32,11,2007,01,17,33,7,4,1,2,1,02
005,193.19,2007000120,005,31,11,2007,01,18,04,1,4,1,1,6,02
090,191.29,2007000121,090,01,01,2007,01,18,34,1,4,2,3,1,04
005,193.66,2007000122,005,31,11,2007,01,22,34,1,4,1,1,1,01
090,68.03,2007000123,090,19,01,2007,01,18,17,1,4,6,4,1,06
500S100526,0.17,2007000124,500,06,12,2007,01,26,06,1,1,2,1,1,01
005,34.76,2007000125,005,08,01,2007,01,29,34,1,4,1,1,3,01
